# Wall heat-flux
# Time        	patch         	min           	max           	integral      
4.1           	solid_to_fluid	-2.665000e+03	-4.100000e+02	-2.508380e+00
4.2           	bodyBottom	1.420650e+05	1.469850e+05	5.724010e+01
4.2           	solid_to_fluid	-2.870000e+03	-4.100000e+02	-2.524780e+00
4.3           	bodyBottom	1.350950e+05	1.400150e+05	5.445620e+01
4.3           	solid_to_fluid	-2.870000e+03	-4.100000e+02	-2.510020e+00
4.4           	bodyBottom	1.285350e+05	1.334550e+05	5.181170e+01
4.4           	solid_to_fluid	-2.870000e+03	-4.100000e+02	-2.489520e+00
4.5           	bodyBottom	1.221800e+05	1.271000e+05	4.930086e+01
4.5           	solid_to_fluid	-2.870000e+03	-4.100000e+02	-2.502640e+00
4.6           	bodyBottom	1.162350e+05	1.211550e+05	4.691548e+01
4.6           	solid_to_fluid	-2.870000e+03	-4.100000e+02	-2.503460e+00
4.7           	bodyBottom	1.104950e+05	1.154150e+05	4.464900e+01
4.7           	solid_to_fluid	-2.870000e+03	-4.100000e+02	-2.490340e+00
4.8           	bodyBottom	1.051650e+05	1.100850e+05	4.249568e+01
4.8           	solid_to_fluid	-2.870000e+03	-4.100000e+02	-2.496900e+00
4.9           	bodyBottom	1.000400e+05	1.051650e+05	4.046208e+01
4.9           	solid_to_fluid	-2.870000e+03	-4.100000e+02	-2.456720e+00
5             	bodyBottom	9.532500e+04	1.002450e+05	3.852606e+01
5             	solid_to_fluid	-2.870000e+03	-4.100000e+02	-2.484600e+00
