# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
4             	T             	3.431333e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
4.1           	T             	3.436106e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
4.2           	T             	3.440634e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
4.3           	T             	3.444931e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
4.4           	T             	3.449013e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
4.5           	T             	3.452887e+02	(8.000000e-02 5.100000e-02 1.900000e-02)	11	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
4.6           	T             	3.456563e+02	(8.000000e-02 5.100000e-02 1.900000e-02)	11	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
4.7           	T             	3.460051e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
4.8           	T             	3.463361e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
4.9           	T             	3.466506e+02	(8.000000e-02 6.900000e-02 1.900000e-02)	15	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
5             	T             	3.469487e+02	(8.000000e-02 5.100000e-02 1.900000e-02)	11	3.530000e+02	(9.100000e-02 5.100000e-02 0.000000e+00)	0
