0 1.000000e+05
0.1 9.999941e+04
0.2 9.999941e+04
0.3 9.999941e+04
0.4 9.999942e+04
0.5 9.999942e+04
0.6 9.999942e+04
0.7 9.999943e+04
0.8 9.999943e+04
0.9 9.999943e+04
1 9.999943e+04
1.1 9.999943e+04
1.2 9.999943e+04
1.3 9.999943e+04
1.4 9.999943e+04
1.5 9.999943e+04
1.6 9.999943e+04
1.7 9.999943e+04
1.8 9.999943e+04
1.9 9.999943e+04
2 9.999943e+04
2.1 9.999943e+04
2.2 9.999943e+04
2.3 9.999943e+04
2.4 9.999943e+04
2.5 9.999943e+04
2.6 9.999943e+04
2.7 9.999943e+04
2.8 9.999943e+04
2.9 9.999943e+04
3 9.999943e+04
3.1 9.999943e+04
3.2 9.999943e+04
3.3 9.999943e+04
3.4 9.999943e+04
3.5 9.999943e+04
3.6 9.999943e+04
3.7 9.999943e+04
3.8 9.999943e+04
3.9 9.999943e+04
4 9.999943e+04
4.1 9.999943e+04
4.2 9.999943e+04
4.3 9.999943e+04
4.4 9.999943e+04
4.5 9.999943e+04
4.6 9.999943e+04
4.7 9.999943e+04
4.8 9.999943e+04
4.9 9.999943e+04
5 9.999943e+04
