0 0 3.530000e+02
0.1 0.11 3.530000e+02
0.2 0.11 3.530000e+02
0.3 0.11 3.530000e+02
0.4 0.12 3.530000e+02
0.5 0.12 3.530000e+02
0.6 0.12 3.530000e+02
0.7 0.13 3.530000e+02
0.8 0.13 3.530000e+02
0.9 0.13 3.530000e+02
1 0.13 3.530000e+02
1.1 0.13 3.530000e+02
1.2 0.13 3.530000e+02
1.3 0.13 3.530000e+02
1.4 0.13 3.530000e+02
1.5 0.13 3.530000e+02
1.6 0.13 3.530000e+02
1.7 0.13 3.530000e+02
1.8 0.13 3.530000e+02
1.9 0.13 3.530000e+02
2 0.13 3.530000e+02
2.1 0.13 3.530000e+02
2.2 0.13 3.530000e+02
2.3 0.13 3.530000e+02
2.4 0.13 3.530000e+02
2.5 0.13 3.530000e+02
2.6 0.13 3.530000e+02
2.7 0.13 3.530000e+02
2.8 0.13 3.530000e+02
2.9 0.13 3.530000e+02
3 0.13 3.530000e+02
3.1 0.13 3.530000e+02
3.2 0.13 3.530000e+02
3.3 0.13 3.530000e+02
3.4 0.13 3.530000e+02
3.5 0.13 3.530000e+02
3.6 0.13 3.530000e+02
3.7 0.13 3.530000e+02
3.8 0.13 3.530000e+02
3.9 0.13 3.530000e+02
4 0.13 3.530000e+02
4.1 0.13 3.530000e+02
4.2 0.13 3.530000e+02
4.3 0.13 3.530000e+02
4.4 0.13 3.530000e+02
4.5 0.13 3.530000e+02
4.6 0.13 3.530000e+02
4.7 0.13 3.530000e+02
4.8 0.13 3.530000e+02
4.9 0.13 3.530000e+02
5 0.13 
